item_code,cluster,mean_demand,std_demand,lead_time,safety_stock,rop_global,num_pods,rop_per_pod,s_total
11061055001,0,0.1904761904761904,0.511766315719159,0.125,0.2976408980074255,1,1,1,48
12000480001,0,0.2857142857142857,0.6436503043467892,0.125,0.3743440095687388,1,1,1,48
14130044001,0,0.5714285714285714,1.164964745021435,0.125,0.6775380524369093,1,1,1,24
14631023001,1,0.4761904761904761,0.7496030695673289,0.125,0.43596564275945715,1,1,1,144
12000191001,0,0.3809523809523809,0.8047478161629565,0.125,0.4680375697170759,1,1,1,48
14213008001,0,0.3333333333333333,0.7302967433402214,0.125,0.4247371736340801,1,1,1,48
14611009001,0,0.3333333333333333,0.6582805886043833,0.125,0.3828529145333318,1,1,1,24
12100054001,0,0.3333333333333333,0.7302967433402214,0.125,0.4247371736340801,1,1,1,144
12122012001,0,2.857142857142857,6.397544171678022,0.125,3.720781797888718,5,1,5,48
14225933001,0,0.3809523809523809,0.6690433824641326,0.125,0.3891125051532869,1,1,1,576
41530017001,0,0.1428571428571428,0.358568582800318,0.125,0.20854181235426142,1,1,1,4
14330899001,1,0.6190476190476191,1.0712698295103096,0.125,0.6230455273627015,1,1,1,6
14313004001,0,0.3333333333333333,0.7958224257542215,0.125,0.4628466043590108,1,1,1,60
12327056001,0,3.4285714285714284,8.605645987207634,0.125,5.005003496502276,6,1,6,192
14621028001,1,6.285714285714286,9.7629035493692,0.125,5.678059087399498,7,1,7,288
14840021001,0,1.4285714285714286,2.4407258873423,0.125,1.4195147718498744,2,1,2,192
11110056001,0,0.2857142857142857,0.5606119105813882,0.125,0.32604926774952286,1,1,1,24
12151073001,0,0.1428571428571428,0.358568582800318,0.125,0.20854181235426142,1,1,1,48
14352093001,0,0.3809523809523809,0.6690433824641326,0.125,0.3891125051532869,1,1,1,24
31250003001,0,0.1904761904761904,0.4023739080814782,0.125,0.23401878485853794,1,1,1,192
14303039001,1,0.2857142857142857,0.4629100498862757,0.125,0.2692263220786556,1,1,1,24
11050049001,1,0.4761904761904761,0.6796357567879738,0.125,0.39527298056743865,1,1,1,72
14506254001,0,0.1428571428571428,0.358568582800318,0.125,0.20854181235426142,1,1,1,24
12011032001,0,0.238095238095238,0.5389584311207967,0.125,0.31345570527056404,1,1,1,96
14342010001,1,0.4761904761904761,0.8135752957807666,0.125,0.4731715906166247,1,1,1,48
12010254001,0,1.7142857142857142,4.302822993603817,0.125,2.502501748251138,3,1,3,288
12000100001,0,0.4761904761904761,1.077916862241593,0.125,0.6269114105411279,1,1,1,48
12020225001,1,1.4285714285714286,2.292846016884444,0.125,1.3335085301564444,2,1,2,96
14620138001,0,0.238095238095238,0.5389584311207967,0.125,0.31345570527056404,1,1,1,36
14620920001,1,0.6666666666666666,1.2382783747337809,0.125,0.7201769169215763,1,1,1,72
31455002001,1,0.5238095238095238,0.8135752957807666,0.125,0.4731715906166247,1,1,1,96
14604041001,1,0.3333333333333333,0.4830458915396479,0.125,0.280937233500059,1,1,1,540
14210127001,0,0.6190476190476191,1.395571226279421,0.125,0.8116577044337512,1,1,1,48
