tick,total_energy,job_queue_len,stop_and_go,total_turning,orders_finished,phase
0.15,0.0,43,0,0,0,1
0.3,16.539789658360114,42,0,1,0,1
0.44999999999999996,33.07957931672023,41,0,2,0,1
0.6,80.76617314705271,40,0,3,0,1
0.75,97.30596280541283,39,0,4,0,1
0.9,144.9925566357453,38,0,5,0,1
1.05,161.53234629410542,37,0,6,0,1
1.2,209.2189401244379,36,0,7,0,1
1.3499999999999999,225.758729782798,35,0,8,0,1
1.4999999999999998,242.29851944115813,34,0,9,0,1
1.6499999999999997,243.07701944115814,33,0,9,0,1
1.7999999999999996,261.1738090995182,32,0,10,0,1
1.9499999999999995,280.0490987578783,31,0,11,0,1
2.0999999999999996,300.4813884162385,30,0,12,0,1
2.2499999999999996,354.39598224657095,29,0,13,0,1
2.3999999999999995,379.499271904931,28,0,14,0,1
2.5499999999999994,438.86336573526347,27,0,15,0,1
2.6999999999999993,501.3414595655959,26,0,16,0,1
2.849999999999999,567.7120533959285,25,0,17,0,1
2.999999999999999,606.8283430542886,24,0,18,0,1
3.149999999999999,679.426936884621,24,0,19,0,1
3.299999999999999,707.452936884621,24,0,19,0,1
3.449999999999999,738.5929368846209,24,0,19,0,1
3.5999999999999988,768.1759368846209,24,1,19,0,1
3.7499999999999987,818.9697265429811,24,1,20,0,1
3.8999999999999986,854.780726542981,24,2,20,0,1
4.049999999999999,1681.8640265429813,24,2,20,0,1
4.199999999999999,1729.3525265429812,24,2,20,0,1
4.35,1783.0690265429812,24,2,20,0,1
4.5,1842.235026542981,24,2,20,0,1
4.65,1906.850526542981,24,2,20,0,1
4.800000000000001,1973.8015265429808,24,2,20,0,1
4.950000000000001,2044.645026542981,24,2,20,0,1
5.100000000000001,2116.267026542981,24,2,20,0,1
5.250000000000002,2183.218026542981,24,3,20,0,1
5.400000000000002,2266.708816201341,24,3,21,0,1
5.5500000000000025,2325.8748162013408,24,5,21,0,1
5.700000000000003,2415.7848955180616,24,6,23,0,1
5.850000000000003,2566.5584535120443,24,8,25,0,1
6.0000000000000036,2654.133032828765,24,8,27,0,1
6.150000000000004,2710.1850328287646,24,9,27,0,1
6.300000000000004,2785.112322487125,24,9,28,0,1
6.450000000000005,2839.6073224871247,24,10,28,0,1
6.600000000000005,2912.199112145485,24,10,29,0,1
6.750000000000005,2972.9221121454852,24,10,29,0,1
6.900000000000006,3027.4171121454847,24,12,29,0,1
7.050000000000006,3116.548691462205,24,12,31,0,1
7.200000000000006,3174.936191462205,24,12,31,0,1
7.350000000000007,3232.5451914622054,24,12,31,0,1
7.500000000000007,3291.711191462205,24,12,31,0,1
7.6500000000000075,3353.219931512206,24,13,31,0,1
7.800000000000008,3432.832701270565,24,14,32,0,1
7.950000000000008,3502.9194214205654,24,14,32,0,1
8.100000000000009,3577.6843816205655,24,15,32,0,1
8.250000000000009,3676.781371528926,24,16,33,0,1
8.40000000000001,3779.7781014872853,24,17,34,0,1
8.55000000000001,3866.227801737286,24,17,34,0,1
8.70000000000001,3947.999261937286,24,17,34,0,1
8.85000000000001,4027.442462187286,24,19,34,0,1
9.00000000000001,4122.8020415040055,24,20,36,0,1
9.150000000000011,4259.371309839629,24,22,37,0,1
9.300000000000011,5189.85275949799,24,22,38,0,1
9.450000000000012,5237.341259497989,24,24,38,0,1
9.600000000000012,5320.244838814709,24,24,40,0,1
9.750000000000012,5366.176338814709,24,25,40,0,1
9.900000000000013,6414.236358814709,24,27,40,0,1
10.050000000000013,8169.7048084730695,24,27,41,0,1
10.200000000000014,8208.629808473072,24,28,41,0,1
10.350000000000014,8815.311928473071,24,28,41,0,1
10.500000000000014,8854.236928473072,24,28,41,0,1
10.650000000000015,8893.161928473071,24,28,41,0,1
10.800000000000015,8928.972928473071,24,30,41,0,1
10.950000000000015,9834.836738181431,24,30,42,0,1
11.100000000000016,9887.30729564143,24,31,42,0,1
11.250000000000016,9969.85596016979,24,31,43,0,1
11.400000000000016,10047.84615244979,24,31,43,0,1
11.550000000000017,10138.59616213979,24,31,43,0,1
11.700000000000017,10533.167980172173,24,31,44,0,1
11.850000000000017,11110.14422901146,24,31,45,0,1
12.000000000000018,11226.903036211459,24,31,45,0,1
12.150000000000018,11409.380435258987,24,31,46,0,1
12.300000000000018,11536.274222558986,24,31,46,0,1
12.450000000000019,11631.316383008987,24,34,46,0,1
12.60000000000002,11849.987829285757,24,34,49,0,1
12.75000000000002,12038.321154826028,24,35,50,0,1
12.90000000000002,12149.117364884387,24,35,51,0,1
13.05000000000002,12242.588045234388,24,35,51,0,1
13.20000000000002,12330.601985534387,24,36,51,0,1
13.350000000000021,12439.833955542748,24,36,52,0,1
13.500000000000021,12527.069395842747,24,36,52,0,1
13.650000000000022,12609.62659609275,24,36,52,0,1
13.800000000000022,12676.57759609275,24,37,52,0,1
13.950000000000022,12828.636460948373,24,37,53,0,1
14.100000000000023,12900.097653988374,24,37,53,0,1
14.250000000000023,12971.478443548373,24,37,53,0,1
14.400000000000023,13048.524906988376,24,39,53,0,1
14.550000000000024,13170.008182630092,24,39,55,0,1
14.700000000000024,13270.547611840093,24,39,55,0,1
14.850000000000025,13377.934080895095,24,39,55,0,1
15.000000000000025,13493.064904465095,24,40,55,0,1
15.150000000000025,14342.820398200096,24,40,55,0,1
15.300000000000026,14491.004042980094,24,41,55,0,1
15.450000000000026,14716.79535255262,24,41,56,0,1
15.600000000000026,14883.507468602622,24,42,56,0,1
