pod_id,order_id,sku,qty,assigned_station,pod_assigned_time,status,finish_time
115,-93,47,8,picker-1,0.0,finish,183.750000000004
115,-46,47,8,picker-1,0.0,finish,183.750000000004
115,-86,1,2,picker-1,0.0,finish,183.750000000004
115,-27,1,5,picker-1,0.0,finish,183.750000000004
115,-17,1,5,picker-1,0.0,finish,183.750000000004
115,-88,1,7,picker-1,0.0,finish,183.750000000004
115,-2,1,8,picker-1,0.0,finish,183.750000000004
115,-93,1,11,picker-1,0.0,finish,183.750000000004
115,-52,1,11,picker-1,0.0,finish,183.750000000004
401,-100,0,4,picker-2,0.0,finish,142.200000000003
401,-26,0,4,picker-2,0.0,finish,142.200000000003
401,-49,0,7,picker-2,0.0,finish,142.200000000003
401,-32,0,10,picker-2,0.0,finish,142.200000000003
401,-68,0,11,picker-2,0.0,finish,142.200000000003
401,-26,3,4,picker-2,0.0,finish,142.200000000003
80,-82,397,10,picker-3,0.0,finish,181.350000000004
80,-82,31,6,picker-3,0.0,finish,181.350000000004
187,-88,5,4,picker-1,1.05,finish,379.199999999988
187,-46,5,9,picker-1,1.05,finish,379.199999999988
187,-46,44,4,picker-1,1.05,finish,379.199999999988
187,-52,44,7,picker-1,1.05,finish,379.199999999988
187,-46,46,8,picker-1,1.05,finish,379.199999999988
43,-68,0,1,picker-2,1.05,finish,299.25
43,-10,3,6,picker-2,1.05,finish,299.25
43,-63,3,10,picker-2,1.05,finish,299.25
43,-63,36,10,picker-2,1.05,finish,299.25
157,-96,272,8,picker-3,1.05,finish,141.150000000002
157,-80,18,4,picker-3,1.05,finish,141.150000000002
22,-93,48,8,picker-1,2.1,finish,229.050000000006
22,-88,21,6,picker-1,2.1,finish,229.050000000006
22,-46,10,5,picker-1,2.1,finish,229.050000000006
262,-63,350,12,picker-2,2.1,finish,194.250000000004
262,-63,45,10,picker-2,2.1,finish,194.250000000004
131,-77,326,9,picker-3,2.1,finish,73.4999999999999
366,-93,313,8,picker-1,3.15,finish,303.0
366,-93,4,6,picker-1,3.15,finish,303.0
366,-88,426,1,picker-1,3.15,finish,303.0
1,-10,14,10,picker-2,3.15,finish,343.799999999994
5,-97,266,9,picker-3,3.15,finish,205.800000000005
284,-88,96,8,picker-1,4.05,finish,264.900000000005
284,-52,466,6,picker-1,4.05,finish,264.900000000005
388,-99,38,9,picker-2,4.05,finish,218.700000000005
376,-87,281,4,picker-3,4.05,finish,93.6000000000007
376,-77,303,4,picker-3,4.05,finish,93.6000000000007
355,-93,91,8,picker-1,5.1,finish,414.899999999983
355,-93,16,6,picker-1,5.1,finish,414.899999999983
149,-63,267,6,picker-2,5.1,finish,317.099999999998
409,-97,143,7,picker-3,5.1,finish,111.450000000001
270,-88,470,4,picker-1,6.0,finish,443.849999999978
270,-2,79,7,picker-1,6.0,finish,443.849999999978
64,-26,2,5,picker-2,6.0,finish,234.150000000006
136,-78,63,6,picker-3,6.0,finish,223.650000000006
373,-88,332,6,picker-1,7.05000000000001,finish,472.799999999974
373,-17,2,5,picker-1,7.05000000000001,finish,472.799999999974
356,-77,496,6,picker-3,7.05000000000001,finish,245.850000000006
36,-93,4,2,picker-1,8.10000000000001,finish,492.899999999971
36,-86,128,5,picker-1,8.10000000000001,finish,492.899999999971
193,-81,110,5,picker-3,8.10000000000001,finish,261.600000000006
134,-52,22,4,picker-1,9.00000000000001,finish,506.249999999969
148,-93,105,4,picker-1,10.05,finish,519.449999999967
128,-28,49,4,picker-3,94.0500000000007,finish,322.799999999997
406,8,23,6,picker-3,142.050000000003,finish,311.549999999998
406,-58,13,2,picker-3,142.050000000003,finish,311.549999999998
403,18,2,10,picker-2,143.100000000003,finish,393.149999999986
403,-54,6,10,picker-2,143.100000000003,finish,393.149999999986
58,18,42,8,picker-2,144.000000000003,finish,455.699999999977
58,-20,405,8,picker-2,144.000000000003,finish,455.699999999977
385,-54,9,8,picker-2,145.050000000003,finish,415.349999999983
133,27,1,11,picker-3,182.100000000004,finish,349.649999999993
165,-95,2,10,picker-1,184.050000000004,finish,546.149999999963
394,-69,19,4,picker-3,206.100000000005,finish,360.449999999991
3,-4,26,9,picker-2,219.000000000005,finish,480.299999999973
32,-24,44,9,picker-3,224.100000000006,finish,455.549999999977
226,-52,144,1,picker-1,230.100000000006,finish,552.749999999962
0,-76,12,2,picker-2,235.050000000006,finish,489.149999999971
290,-11,305,11,picker-3,246.000000000006,finish,413.099999999983
258,-71,30,8,picker-3,262.050000000006,finish,433.19999999998
386,40,47,5,picker-2,300.0,finish,504.749999999969
77,13,1,3,picker-3,312.149999999998,finish,507.149999999969
77,-84,28,10,picker-3,312.149999999998,finish,507.149999999969
6,-19,5,9,picker-2,318.149999999997,finish,529.199999999965
280,-74,6,8,picker-3,323.099999999997,finish,475.799999999974
198,-39,12,4,picker-2,344.099999999993,finish,551.399999999962
198,-39,10,4,picker-2,344.099999999993,finish,551.399999999962
256,11,13,6,picker-3,350.099999999993,finish,522.749999999966
197,41,90,5,picker-3,361.049999999991,finish,535.949999999964
259,19,45,6,picker-1,380.099999999988,finish,570.449999999959
392,4,18,6,picker-3,414.149999999983,finish,555.299999999962
264,48,476,11,picker-2,416.099999999983,finish,580.499999999958
129,47,41,2,picker-3,434.09999999998,finish,591.599999999956
385,-18,299,5,picker-1,444.149999999978,finish,586.199999999957
80,64,31,2,picker-2,456.149999999977,finish,598.499999999955
80,35,4,4,picker-2,456.149999999977,finish,598.499999999955
5,28,27,10,picker-3,457.049999999976,finish,580.049999999958
400,59,15,7,picker-1,473.099999999974,finish,655.949999999946
400,-23,427,3,picker-1,473.099999999974,finish,655.949999999946
136,-7,35,8,picker-3,476.099999999973,finish,611.849999999953
140,70,4,6,picker-2,481.049999999973,finish,616.499999999952
278,70,4,2,picker-2,482.099999999973,finish,625.349999999951
133,69,1,7,picker-2,490.049999999971,finish,645.449999999948
280,21,36,6,picker-1,493.049999999971,finish,631.19999999995
280,21,18,6,picker-1,493.049999999971,finish,631.19999999995
384,21,15,2,picker-1,494.099999999971,finish,662.549999999945
352,53,16,12,picker-2,505.049999999969,finish,724.799999999936
352,53,10,11,picker-2,505.049999999969,finish,724.799999999936
266,22,191,8,picker-3,508.049999999969,finish,646.049999999948
265,14,27,2,picker-3,509.099999999968,finish,622.199999999951
390,-61,144,2,picker-1,520.049999999967,finish,668.999999999944
11,-16,456,6,picker-3,523.049999999966,finish,698.24999999994
142,33,20,6,picker-2,530.099999999965,finish,667.199999999945
321,5,53,4,picker-3,536.099999999964,finish,662.699999999945
13,-62,15,4,picker-1,547.049999999963,finish,710.249999999938
295,16,478,12,picker-2,552.149999999962,finish,756.299999999931
35,-89,36,8,picker-1,553.049999999962,finish,689.099999999941
193,45,20,8,picker-3,556.049999999961,finish,682.799999999942
191,-75,144,3,picker-1,571.049999999959,finish,719.249999999937
2,-48,17,8,picker-2,581.099999999958,finish,820.799999999921
8,44,17,3,picker-3,582.149999999957,finish,731.849999999935
139,75,1,10,picker-3,592.049999999956,finish,722.999999999936
165,37,427,6,picker-2,599.099999999955,finish,798.449999999925
224,-25,147,1,picker-2,600.149999999955,finish,762.89999999993
97,71,20,4,picker-3,612.149999999953,finish,790.649999999926
255,82,63,6,picker-3,623.099999999951,finish,779.549999999928
195,-6,211,6,picker-2,626.099999999951,finish,780.749999999927
112,-60,432,3,picker-2,646.049999999948,finish,831.89999999992
264,10,1,10,picker-3,647.099999999948,finish,763.94999999993
288,10,89,2,picker-3,648.149999999947,finish,797.099999999925
213,-12,61,5,picker-1,656.099999999946,finish,778.049999999928
132,6,0,1,picker-1,657.149999999946,finish,762.44999999993
7,61,0,4,picker-1,663.149999999945,finish,789.149999999926
129,93,17,2,picker-3,664.049999999945,finish,803.699999999924
386,91,47,10,picker-2,668.099999999944,finish,858.599999999916
100,-34,201,4,picker-1,669.149999999944,finish,824.999999999921
177,-41,89,9,picker-3,683.099999999942,finish,836.549999999919
187,76,102,10,picker-1,690.149999999941,finish,849.599999999917
265,83,24,6,picker-3,699.14999999994,finish,862.199999999915
325,56,44,4,picker-1,711.149999999938,finish,874.349999999913
325,56,43,6,picker-1,711.149999999938,finish,874.349999999913
35,-50,186,8,picker-1,714.149999999937,finish,963.7499999999
257,-59,25,8,picker-1,720.149999999937,finish,894.59999999991
289,103,498,10,picker-3,723.149999999936,finish,886.949999999911
403,65,47,11,picker-2,725.099999999936,finish,916.799999999907
6,65,335,2,picker-2,726.149999999936,finish,867.599999999914
161,-43,317,9,picker-3,732.149999999935,finish,939.299999999903
66,-22,7,7,picker-2,757.049999999931,finish,887.699999999911
385,101,12,8,picker-1,763.04999999993,finish,914.699999999907
163,66,7,2,picker-2,764.09999999993,finish,947.999999999902
148,-90,5,12,picker-1,779.099999999928,finish,943.799999999903
256,60,13,12,picker-3,780.149999999927,finish,916.799999999907
136,113,188,8,picker-2,781.049999999927,finish,939.299999999903
160,42,366,2,picker-1,790.049999999926,finish,970.199999999899
259,-1,14,9,picker-3,791.099999999926,finish,1018.19999999989
208,-1,103,8,picker-3,792.149999999926,finish,1040.3999999999
262,111,45,10,picker-3,798.149999999925,finish,964.0499999999
388,-45,413,9,picker-2,799.049999999925,finish,972.599999999898
277,-45,5,6,picker-2,800.099999999924,finish,990.449999999896
199,50,298,9,picker-3,804.149999999924,finish,993.599999999895
56,50,143,1,picker-3,805.049999999924,finish,1062.44999999991
