order_id,arrival_time,assigned_station,order_assigned_time,order_finish_time
-99,0.0,picker-2,2.1,334.349999999995
-98,0.0,picker-1,1532.1000000002,1738.05000000032
-94,0.0,picker-1,2786.10000000096,3026.4000000011
-93,0.0,,,
-92,0.0,picker-1,3773.10000000156,4164.90000000159
-91,0.0,picker-2,2.1,334.349999999995
-90,0.0,picker-1,270.000000000005,387.599999999987
-89,0.0,picker-1,337.049999999995,494.099999999971
-88,0.0,picker-2,2.1,358.649999999991
-85,0.0,picker-3,2499.00000000078,2729.85000000092
-84,0.0,picker-3,631.04999999995,831.14999999992
-83,0.0,,,
-79,0.0,picker-2,953.099999999901,1289.25000000005
-76,0.0,picker-2,428.099999999981,568.19999999996
-75,0.0,picker-1,270.000000000005,436.34999999998
-74,0.0,picker-1,312.149999999998,458.549999999976
-73,0.0,picker-2,451.049999999977,586.049999999957
-72,0.0,picker-2,488.099999999972,650.399999999947
-71,0.0,picker-2,126.000000000002,380.849999999988
-70,0.0,picker-1,2397.00000000072,2659.20000000088
-69,0.0,picker-3,173.100000000004,359.849999999991
-67,0.0,picker-1,3688.05000000151,3899.40000000163
-66,0.0,picker-1,8576.09999999089,8908.94999999008
-65,0.0,picker-1,792.149999999926,1060.79999999991
-64,0.0,picker-2,2.1,450.149999999977
-63,0.0,,,
-62,0.0,picker-1,495.149999999971,654.149999999947
-61,0.0,picker-1,179.100000000004,311.849999999998
-60,0.0,picker-1,406.049999999984,587.549999999957
-59,0.0,picker-2,126.000000000002,427.949999999981
-58,0.0,picker-2,126.000000000002,427.949999999981
-57,0.0,picker-3,1599.00000000024,1871.5500000004
-56,0.0,,,
-55,0.0,picker-2,3304.05000000127,3456.75000000137
-54,0.0,picker-1,1.05,269.700000000005
-53,0.0,,,
-52,0.0,,,
-51,0.0,picker-1,2411.10000000073,2603.55000000085
-50,0.0,picker-1,815.099999999922,1138.79999999996
-48,0.0,picker-3,218.100000000005,382.049999999988
-47,0.0,picker-3,689.099999999941,880.199999999912
-46,0.0,picker-3,662.099999999945,931.799999999904
-45,0.0,picker-1,179.100000000004,336.299999999995
-44,0.0,picker-3,1801.05000000036,1946.70000000045
-43,0.0,picker-3,881.099999999912,1116.74999999995
-42,0.0,picker-1,2682.0000000009,2805.60000000097
-41,0.0,picker-2,669.149999999944,834.899999999919
-40,0.0,picker-1,535.049999999965,716.399999999937
-39,0.0,picker-2,335.099999999995,487.949999999972
-38,0.0,,,
-37,0.0,,,
-36,0.0,,,
-35,0.0,,,
-34,0.0,picker-1,775.049999999928,911.399999999908
-33,0.0,picker-1,608.099999999954,814.199999999922
-31,0.0,,,
-30,0.0,,,
-29,0.0,picker-2,869.099999999914,1036.9499999999
-28,0.0,picker-3,438.149999999979,608.699999999953
-25,0.0,picker-3,115.050000000002,263.700000000006
-24,0.0,picker-3,264.000000000006,461.999999999976
-23,0.0,picker-3,507.149999999969,661.949999999945
-22,0.0,picker-3,596.099999999955,768.749999999929
-21,0.0,picker-3,578.099999999958,728.699999999935
-20,0.0,picker-2,359.099999999991,532.649999999965
-19,0.0,picker-2,126.000000000002,427.949999999981
-18,0.0,picker-2,335.099999999995,487.949999999972
-16,0.0,picker-3,347.099999999993,506.249999999969
-15,0.0,picker-1,546.149999999963,703.199999999939
-13,0.0,picker-1,459.149999999976,625.349999999951
-12,0.0,picker-1,506.099999999969,640.949999999949
-11,0.0,picker-3,383.099999999988,535.349999999965
-10,0.0,picker-1,1262.10000000003,1571.40000000022
-9,0.0,picker-2,900.149999999909,1289.25000000005
-8,0.0,,,
-7,0.0,picker-3,84.0000000000003,257.250000000007
-6,0.0,picker-3,473.099999999974,595.499999999955
-5,0.0,picker-2,5782.04999999766,6021.29999999708
-4,0.0,picker-3,138.000000000002,288.300000000002
-3,0.0,,,
-1,0.0,picker-3,1583.10000000023,1800.30000000036
0,60.1499999999996,picker-2,2395.05000000072,2651.55000000088
1,60.1499999999996,picker-1,199.050000000005,342.899999999994
2,60.1499999999996,,,
3,60.1499999999996,picker-1,735.149999999934,1000.79999999989
4,60.1499999999996,picker-1,286.050000000002,405.299999999984
5,60.1499999999996,picker-3,411.149999999983,548.699999999963
6,60.1499999999996,picker-3,258.000000000007,410.849999999983
7,60.1499999999996,picker-2,2917.05000000104,3123.90000000116
8,60.1499999999996,picker-3,115.050000000002,234.900000000006
9,60.1499999999996,picker-1,1139.09999999996,1464.15000000016
-81,,,,83.5500000000003
-96,,,,114.900000000001
-80,,,,114.900000000001
10,120.000000000002,picker-2,595.049999999956,810.449999999923
11,120.000000000002,picker-3,155.100000000003,306.149999999999
12,120.000000000002,picker-2,1958.10000000046,2394.90000000072
13,120.000000000002,picker-1,426.149999999981,545.249999999963
14,120.000000000002,picker-1,655.049999999946,822.899999999921
15,120.000000000002,picker-2,381.149999999988,550.349999999962
16,120.000000000002,picker-1,437.099999999979,576.449999999958
17,120.000000000002,picker-3,609.149999999953,804.299999999924
18,120.000000000002,picker-2,569.099999999959,748.199999999932
-100,,,,125.550000000002
-49,,,,125.550000000002
-32,,,,125.550000000002
-68,,,,125.550000000002
-87,,,,137.250000000002
-78,,,,154.950000000003
-77,,,,172.800000000004
-27,,,,178.050000000004
-14,,,,178.050000000004
19,180.000000000004,picker-1,270.000000000005,387.599999999987
20,180.000000000004,picker-2,882.149999999912,1137.29999999996
21,180.000000000004,picker-1,1061.09999999991,1252.20000000003
22,180.000000000004,picker-3,235.050000000006,404.399999999984
23,180.000000000004,picker-3,536.099999999964,706.499999999939
24,180.000000000004,,,
25,180.000000000004,,,
26,180.000000000004,picker-1,577.049999999958,756.299999999931
27,180.000000000004,picker-3,405.149999999984,577.799999999958
-2,,,,198.000000000005
-97,,,,217.200000000005
28,240.000000000006,picker-3,289.050000000002,437.549999999979
29,240.000000000006,picker-2,2295.00000000066,2573.40000000083
30,240.000000000006,picker-1,841.049999999918,1098.89999999994
31,240.000000000006,,,
32,240.000000000006,picker-1,270.000000000005,425.249999999981
33,240.000000000006,picker-2,533.099999999965,668.099999999944
34,240.000000000006,,,
35,240.000000000006,picker-1,343.049999999994,471.899999999974
36,240.000000000006,,,
-26,,,,269.700000000005
-17,,,,269.700000000005
-95,,,,269.700000000005
-86,,,,285.300000000002
37,300.0,picker-2,551.099999999962,725.849999999936
38,300.0,,,
39,300.0,picker-3,1540.0500000002,1758.00000000034
40,300.0,picker-3,707.099999999939,947.249999999902
41,300.0,picker-3,360.149999999991,488.549999999972
42,300.0,picker-3,769.049999999929,1043.3999999999
43,300.0,,,
44,300.0,picker-3,307.049999999999,472.949999999974
-82,,,,346.499999999993
45,360.149999999991,picker-3,462.149999999976,630.89999999995
46,360.149999999991,picker-1,388.049999999987,505.199999999969
47,360.149999999991,picker-1,588.149999999957,734.099999999934
48,360.149999999991,picker-1,388.049999999987,534.149999999965
49,360.149999999991,,,
50,360.149999999991,picker-3,932.099999999904,1156.49999999997
51,360.149999999991,picker-1,717.149999999937,840.449999999918
52,360.149999999991,,,
53,420.149999999982,picker-3,652.049999999947,1003.34999999989
54,420.149999999982,,,
55,420.149999999982,picker-2,2877.00000000101,3063.75000000113
56,420.149999999982,picker-2,488.099999999972,643.949999999948
57,420.149999999982,picker-3,2245.05000000063,2560.65000000082
58,420.149999999982,picker-1,2731.05000000093,2939.40000000105
59,420.149999999982,picker-1,472.049999999974,607.649999999954
60,420.149999999982,picker-3,729.149999999935,1034.5499999999
61,420.149999999982,picker-2,428.099999999981,568.19999999996
62,420.149999999982,picker-2,1615.05000000025,1882.20000000041
63,420.149999999982,picker-2,1357.05000000009,1614.75000000025
64,420.149999999982,picker-2,428.099999999981,594.899999999956
65,480.149999999973,picker-3,948.149999999902,1185.59999999999
66,480.149999999973,picker-2,651.149999999947,868.049999999914
67,480.149999999973,,,
68,480.149999999973,picker-1,1590.00000000023,1813.95000000037
69,480.149999999973,picker-3,489.149999999971,650.999999999947
70,480.149999999973,picker-2,587.099999999957,801.599999999924
71,540.149999999964,picker-2,569.099999999959,708.149999999938
72,540.149999999964,picker-2,1106.09999999994,1356.15000000009
73,540.149999999964,,,
74,540.149999999964,picker-2,869.099999999914,1105.94999999994
75,540.149999999964,picker-3,549.149999999962,688.799999999941
76,540.149999999964,picker-3,1452.00000000015,1624.65000000025
77,600.149999999955,picker-2,644.099999999948,868.049999999914
78,600.149999999955,,,
79,600.149999999955,picker-2,1316.10000000007,1543.50000000021
80,600.149999999955,,,
81,600.149999999955,picker-2,811.049999999923,979.199999999897
82,600.149999999955,picker-1,641.099999999949,791.999999999926
83,600.149999999955,picker-1,626.099999999951,774.149999999928
84,600.149999999955,picker-2,709.049999999938,881.399999999912
85,600.149999999955,picker-1,1168.04999999998,1531.0500000002
86,660.149999999946,picker-2,1800.00000000036,2040.15000000051
87,660.149999999946,picker-2,1490.10000000017,1779.90000000035
88,660.149999999946,picker-2,3338.10000000129,3523.65000000141
89,660.149999999946,picker-1,757.049999999931,989.699999999896
90,660.149999999946,picker-2,802.049999999924,952.649999999901
91,660.149999999946,picker-3,805.049999999924,1070.09999999992
92,660.149999999946,picker-1,1496.10000000018,1689.00000000029
93,660.149999999946,picker-1,704.099999999939,831.74999999992
94,660.149999999946,picker-1,6211.04999999662,6528.89999999585
95,720.149999999937,picker-1,5931.1499999973,6126.44999999683
96,720.149999999937,picker-2,749.099999999932,939.449999999903
97,720.149999999937,picker-1,7543.04999999339,7912.9499999925
98,720.149999999937,,,
99,720.149999999937,,,
100,720.149999999937,picker-2,726.149999999936,899.099999999909
101,720.149999999937,picker-1,832.04999999992,1023.14999999989
102,720.149999999937,picker-3,2757.00000000094,3117.90000000116
103,720.149999999937,picker-1,823.049999999921,1049.84999999991
104,780.149999999927,picker-2,1958.10000000046,2294.25000000066
105,780.149999999927,picker-3,1118.09999999995,1451.10000000015
106,780.149999999927,picker-3,1071.14999999992,1395.30000000012
107,780.149999999927,picker-1,1050.14999999991,1261.05000000003
108,780.149999999927,picker-1,3800.10000000157,4129.50000000167
109,780.149999999927,picker-1,1117.04999999995,1352.40000000009
110,780.149999999927,picker-3,2902.05000000103,3323.25000000128
111,780.149999999927,picker-2,835.049999999919,1090.49999999993
112,780.149999999927,picker-3,5881.04999999742,6235.49999999656
113,780.149999999927,picker-3,833.099999999919,1092.29999999993
114,780.149999999927,,,
115,840.149999999918,picker-2,1845.00000000039,2102.40000000054
116,840.149999999918,,,
117,840.149999999918,picker-2,940.049999999903,1159.49999999997
118,900.149999999909,picker-1,6692.09999999546,6895.79999999496
119,900.149999999909,picker-1,912.149999999907,1116.59999999995
120,900.149999999909,picker-3,5690.09999999789,5999.09999999714
121,900.149999999909,picker-2,1598.10000000024,1844.40000000039
122,900.149999999909,picker-2,1628.10000000026,1922.25000000044
123,960.1499999999,picker-1,1814.10000000037,2034.4500000005
124,960.1499999999,picker-1,1001.09999999989,1156.64999999997
125,960.1499999999,,,
126,960.1499999999,picker-2,1037.0999999999,1315.95000000007
127,960.1499999999,picker-1,990.149999999896,1167.74999999998
128,960.1499999999,picker-1,1690.05000000029,1994.55000000048
129,960.1499999999,picker-1,2450.10000000076,2712.30000000091
130,960.1499999999,picker-3,1004.09999999989,1203.3
131,960.1499999999,picker-2,1138.04999999996,1380.60000000011
132,960.1499999999,,,
133,960.1499999999,,,
134,960.1499999999,picker-2,980.099999999897,1186.19999999999
135,1020.14999999989,picker-1,1024.04999999989,1212.3
136,1020.14999999989,picker-2,1160.09999999997,1405.05000000012
137,1020.14999999989,picker-3,1035.1499999999,1290.30000000005
138,1020.14999999989,picker-3,3118.05000000116,3365.70000000131
139,1020.14999999989,,,
140,1020.14999999989,picker-3,1044.1499999999,1263.60000000004
141,1020.14999999989,picker-3,1501.05000000018,1684.65000000029
142,1080.14999999992,picker-3,1204.05,1500.00000000018
143,1080.14999999992,picker-2,2121.00000000056,2502.15000000079
144,1080.14999999992,picker-1,1099.04999999994,1310.10000000006
145,1080.14999999992,picker-1,1931.10000000044,2098.65000000054
