item_code,total_demand,avg_affinity,max_affinity,cluster
10021025001,67734,2.7564638e-05,0.0019028861,3
10000011001,58080,1.7960047e-05,0.001986346,3
10021008001,28440,1.3972069e-05,0.0018194262,3
15020047001,24450,5.488534e-06,0.00046737553,1
10035035001,22806,1.6277716e-05,0.0020864978,3
10001009001,19968,1.03045595e-05,0.0012685908,3
10032006001,19758,1.4631733e-05,0.0013353587,3
10010002001,19692,1.556038e-05,0.0014188186,3
10031005001,18456,1.3995559e-05,0.0020864978,3
14805012001,17916,3.6447564e-05,0.002069806,3
10034042001,17838,1.6030073e-05,0.0018361182,3
10032016001,17802,1.504799e-05,0.0020864978,3
10031001001,17628,1.5257245e-05,0.001986346,3
14804007001,17208,3.307884e-05,0.0016191225,3
12201031001,17064,2.358963e-06,0.0003171477,1
10033037001,16560,1.0987665e-05,0.0015356624,3
10001012001,16152,9.416491e-06,0.0013687427,3
10021006001,15940,4.4318263e-06,0.00043399158,1
14502009001,15455,3.1046526e-05,0.0020864978,3
10040063001,15408,2.3674995e-06,0.000984827,1
10002008001,15288,5.1661887e-06,0.0011684388,3
10002021001,15144,1.008253e-05,0.0014688945,3
10034019001,14334,1.479611e-05,0.0018027342,3
10021001001,13992,6.511072e-06,0.0013186667,3
10033025001,13962,1.6130421e-05,0.0015690464,3
14500000001,13820,3.5273508e-05,0.001986346,3
10033004001,13770,1.3041272e-05,0.0018361182,3
10032047001,13656,1.41065775e-05,0.0014522026,3
10031013001,13608,1.9074372e-05,0.00201973,3
10002018001,13302,2.1198526e-05,0.001969654,3
14503003001,13056,6.076732e-05,0.00210319,3
10033018001,12764,1.5265732e-05,0.0018861941,3
10032013001,12210,1.8414734e-05,0.00210319,3
12201079001,11988,2.50413e-06,0.0007678312,1
10010004001,11694,8.741853e-06,0.0014355106,3
10000005001,11670,1.0838246e-05,0.001068287,3
10032010001,11448,1.1766839e-05,0.0013353587,3
12201898001,11054,1.0908864e-06,0.00018361182,1
10010035001,10938,9.969367e-06,0.0011684388,3
10035034001,10914,7.4610134e-06,0.0011517468,3
12201103001,10632,1.8209909e-06,0.00026707174,1
12200002001,10608,7.770688e-07,0.00028376371,1
10034025001,10488,9.109067e-06,0.0014688945,3
10002102001,10434,6.4875835e-06,0.0012685908,3
10041067001,10312,2.7731144e-06,0.00033383968,1
12200006001,10290,9.1369725e-07,0.00016691984,1
10020007001,10218,7.742831e-06,0.0007010633,1
14505013001,10215,2.2784678e-05,0.002003038,3
10031910001,10200,7.1023837e-06,0.0012018228,3
10001006001,10062,1.578668e-05,0.0014021266,3
10000002001,9976,8.8827865e-06,0.002036422,3
10033043001,9860,2.8819948e-05,0.0017359663,3
10002001001,9744,7.482392e-06,0.0012185147,3
15022026001,9702,2.265029e-06,0.0003171477,1
15020050001,9678,2.3909831e-06,0.00045068355,1
14505041001,9495,1.3229194e-05,0.0014688945,3
12201043001,9408,2.1027856e-06,0.00033383968,1
10035021001,9296,2.997269e-06,0.0003171477,1
10014090001,9186,8.250895e-06,0.0010849789,3
10002019001,9096,7.213403e-06,0.0012685908,3
10001025001,9096,7.271046e-06,0.0019195781,3
10040005001,8760,1.5968349e-06,0.00033383968,1
10032008001,8712,8.859285e-06,0.00201973,3
12201104001,8640,1.3982988e-06,0.00025037976,1
10034003001,8508,7.648896e-06,0.0012185147,3
12201001001,8496,9.136969e-07,0.00011684388,1
15020010001,8142,2.9844605e-06,0.00033383968,1
10033064001,8016,1.2332584e-05,0.0015690464,3
10021027001,8016,4.6965397e-06,0.000968135,1
14502081001,8001,1.1739122e-05,0.001986346,3
10030013001,7986,8.573248e-06,0.0011350549,3
12200001001,7914,1.5584093e-06,0.00023368777,1
10002010001,7824,4.273861e-06,0.00075113925,1
10040062001,7800,2.0088517e-06,0.000984827,1
10033068001,7680,4.5577767e-06,0.0012018228,3
