pod_id,order_id,sku,qty,assigned_station,pod_assigned_time,status,finish_time
250,-98,19,3,picker-1,0.0,finish,114.900000000001
250,-46,19,8,picker-1,0.0,finish,114.900000000001
250,-28,19,1,picker-1,0.0,finish,114.900000000001
250,-46,227,8,picker-1,0.0,finish,114.900000000001
259,-48,12,8,picker-2,0.0,finish,75.45
259,-39,478,8,picker-2,0.0,finish,75.45
185,-61,2,2,picker-3,0.0,finish,177.300000000004
185,-84,2,4,picker-3,0.0,finish,177.300000000004
185,-72,2,5,picker-3,0.0,finish,177.300000000004
185,-60,2,7,picker-3,0.0,finish,177.300000000004
185,-8,2,6,picker-3,0.0,finish,177.300000000004
185,-84,325,8,picker-3,0.0,finish,177.300000000004
185,-8,349,6,picker-3,0.0,finish,177.300000000004
6,-28,19,7,picker-1,1.05,finish,80.8500000000002
6,-56,55,7,picker-1,1.05,finish,80.8500000000002
6,-100,15,6,picker-1,1.05,finish,80.8500000000002
389,-36,27,7,picker-2,1.05,finish,101.250000000001
389,-32,498,6,picker-2,1.05,finish,101.250000000001
166,-8,2,1,picker-3,1.05,finish,228.000000000006
166,-5,2,8,picker-3,1.05,finish,228.000000000006
166,-87,2,11,picker-3,1.05,finish,228.000000000006
166,-5,29,11,picker-3,1.05,finish,228.000000000006
2,-16,20,8,picker-1,2.1,finish,144.450000000003
2,-27,6,6,picker-1,2.1,finish,144.450000000003
2,-16,6,4,picker-1,2.1,finish,144.450000000003
37,-36,160,10,picker-2,2.1,finish,133.800000000002
126,-87,132,6,picker-3,2.1,finish,269.850000000005
126,-84,415,7,picker-3,2.1,finish,269.850000000005
126,-5,44,12,picker-3,2.1,finish,269.850000000005
257,-56,122,12,picker-1,3.15,finish,196.350000000005
257,-35,7,4,picker-1,3.15,finish,196.350000000005
393,-76,198,6,picker-2,3.15,finish,114.600000000001
349,-87,24,8,picker-3,3.15,finish,89.8500000000005
349,-85,68,11,picker-3,3.15,finish,89.8500000000005
81,-27,9,5,picker-1,4.05,finish,168.150000000004
81,-56,431,8,picker-1,4.05,finish,168.150000000004
46,-32,247,4,picker-2,4.05,finish,144.150000000003
108,-87,23,6,picker-3,4.05,finish,117.450000000002
108,-8,5,11,picker-3,4.05,finish,117.450000000002
7,-27,68,10,picker-1,5.1,finish,215.850000000005
103,-34,120,4,picker-2,5.1,finish,185.400000000004
321,-60,148,10,picker-3,5.1,finish,296.700000000001
321,-8,19,5,picker-3,5.1,finish,296.700000000001
327,-16,6,3,picker-1,6.0,finish,240.750000000006
327,-35,4,6,picker-1,6.0,finish,240.750000000006
32,-88,438,2,picker-2,6.0,finish,207.450000000005
176,-5,20,5,picker-3,6.0,finish,317.399999999998
176,-85,43,6,picker-3,6.0,finish,317.399999999998
386,-35,4,3,picker-1,7.05000000000001,finish,256.950000000007
168,-40,278,2,picker-2,7.05000000000001,finish,268.350000000005
364,-5,192,6,picker-3,7.05000000000001,finish,330.749999999996
0,-56,38,2,picker-1,8.10000000000001,finish,248.100000000007
384,-84,91,4,picker-3,8.10000000000001,finish,356.999999999992
130,-60,303,3,picker-3,9.00000000000001,finish,339.449999999994
256,-5,6,2,picker-3,10.05,finish,346.649999999993
5,-38,48,8,picker-2,76.05,finish,263.100000000006
12,-15,458,7,picker-2,77.1000000000001,finish,328.499999999996
392,-15,23,2,picker-2,78.0000000000001,finish,336.599999999995
330,-83,114,5,picker-1,81.0000000000002,finish,342.899999999994
87,-21,16,4,picker-1,115.050000000002,finish,315.899999999998
87,-33,30,5,picker-1,115.050000000002,finish,315.899999999998
89,-80,122,6,picker-1,116.100000000002,finish,331.199999999995
35,-71,105,7,picker-2,116.100000000002,finish,361.949999999991
418,-97,94,7,picker-2,134.100000000002,finish,398.699999999985
258,-20,1,6,picker-2,145.050000000003,finish,349.349999999993
212,-44,16,10,picker-3,178.050000000004,finish,388.349999999987
212,-96,3,8,picker-3,178.050000000004,finish,388.349999999987
253,-96,254,9,picker-3,179.100000000004,finish,406.349999999984
259,6,48,4,picker-2,186.000000000004,finish,406.949999999984
27,-75,101,7,picker-2,208.050000000005,finish,459.899999999976
326,7,46,8,picker-1,216.000000000005,finish,479.699999999973
320,-63,251,4,picker-1,241.050000000006,finish,437.099999999979
4,-73,30,8,picker-1,249.000000000007,finish,428.999999999981
136,-73,0,5,picker-1,250.050000000007,finish,412.799999999983
387,-13,13,10,picker-1,257.100000000007,finish,465.449999999975
6,-12,1,4,picker-2,264.000000000006,finish,431.69999999998
202,-30,8,7,picker-2,269.100000000005,finish,447.149999999978
202,-30,332,2,picker-2,269.100000000005,finish,447.149999999978
261,-30,4,4,picker-2,270.000000000005,finish,467.849999999975
268,-9,18,8,picker-3,270.000000000005,finish,464.999999999975
388,-95,41,2,picker-3,297.000000000001,finish,484.349999999972
386,-52,30,8,picker-1,316.049999999998,finish,493.799999999971
162,-49,171,7,picker-1,317.099999999998,finish,506.399999999969
129,13,3,4,picker-3,318.149999999997,finish,543.899999999963
410,-77,154,8,picker-1,332.099999999995,finish,559.949999999961
369,21,14,3,picker-2,337.049999999995,finish,540.299999999964
369,21,42,2,picker-2,337.049999999995,finish,540.299999999964
245,21,101,3,picker-2,338.099999999994,finish,546.899999999963
132,16,3,4,picker-3,340.049999999994,finish,527.099999999966
400,16,2,4,picker-3,341.099999999994,finish,567.59999999996
131,-42,32,10,picker-1,343.049999999994,finish,527.399999999966
323,-74,13,4,picker-3,347.099999999993,finish,589.049999999956
323,-74,0,9,picker-3,347.099999999993,finish,589.049999999956
5,2,29,7,picker-2,350.099999999993,finish,559.349999999961
139,2,219,7,picker-2,351.149999999992,finish,572.099999999959
352,-93,284,12,picker-3,357.149999999992,finish,613.349999999953
272,-68,48,12,picker-2,362.099999999991,finish,622.049999999951
272,-68,31,11,picker-2,362.099999999991,finish,622.049999999951
128,-57,39,8,picker-3,389.099999999987,finish,627.599999999951
241,-68,4,6,picker-2,399.149999999985,finish,657.599999999946
241,3,16,6,picker-2,399.149999999985,finish,657.599999999946
67,-68,4,6,picker-2,407.099999999984,finish,637.649999999949
67,-31,21,3,picker-2,407.099999999984,finish,637.649999999949
260,23,41,1,picker-3,408.149999999984,finish,592.799999999956
137,26,30,7,picker-1,429.149999999981,finish,611.699999999953
80,-22,25,8,picker-2,432.14999999998,finish,693.299999999941
80,-22,39,5,picker-2,432.14999999998,finish,693.299999999941
224,-29,320,10,picker-1,438.149999999979,finish,687.749999999941
46,-68,216,6,picker-2,448.049999999978,finish,671.699999999944
46,3,36,2,picker-2,448.049999999978,finish,671.699999999944
341,-31,23,3,picker-2,460.049999999976,finish,713.249999999938
341,0,39,9,picker-2,460.049999999976,finish,713.249999999938
232,-6,131,6,picker-3,465.149999999975,finish,658.049999999946
147,-65,85,8,picker-1,466.049999999975,finish,670.499999999944
267,-65,46,6,picker-1,467.099999999975,finish,698.84999999994
171,-47,300,7,picker-2,468.149999999975,finish,725.849999999936
135,-89,32,7,picker-1,480.149999999973,finish,711.299999999938
384,28,2,6,picker-3,485.099999999972,finish,686.999999999942
225,12,77,5,picker-1,494.099999999971,finish,732.899999999935
247,-24,46,8,picker-1,507.149999999969,finish,808.499999999923
247,-24,9,10,picker-1,507.149999999969,finish,808.499999999923
247,-24,4,6,picker-1,507.149999999969,finish,808.499999999923
12,-24,44,8,picker-1,508.049999999969,finish,756.299999999931
12,-24,49,1,picker-1,508.049999999969,finish,756.299999999931
2,-24,209,8,picker-1,509.099999999968,finish,770.399999999929
7,-43,3,6,picker-1,528.149999999966,finish,722.399999999936
118,2,66,4,picker-2,541.049999999964,finish,742.949999999933
