pod_id,order_id,sku,qty,assigned_station,pod_assigned_time,status,finish_time
131,-93,284,12,picker-1,0.0,finish,38.8499999999998
185,-61,2,2,picker-2,0.0,finish,112.500000000001
185,-84,2,4,picker-2,0.0,finish,112.500000000001
185,-72,2,5,picker-2,0.0,finish,112.500000000001
185,-60,2,7,picker-2,0.0,finish,112.500000000001
185,-8,2,6,picker-2,0.0,finish,112.500000000001
185,-84,325,8,picker-2,0.0,finish,112.500000000001
185,-8,349,6,picker-2,0.0,finish,112.500000000001
94,-68,31,11,picker-3,0.0,finish,106.050000000001
94,-30,8,7,picker-3,0.0,finish,106.050000000001
94,-24,9,10,picker-3,0.0,finish,106.050000000001
94,-24,44,8,picker-3,0.0,finish,106.050000000001
69,-95,41,2,picker-1,1.05,finish,65.3999999999996
69,-82,456,8,picker-1,1.05,finish,65.3999999999996
93,-87,23,6,picker-2,1.05,finish,189.450000000004
93,-87,132,6,picker-2,1.05,finish,189.450000000004
93,-84,415,7,picker-2,1.05,finish,189.450000000004
93,-8,19,5,picker-2,1.05,finish,189.450000000004
149,-68,48,12,picker-3,1.05,finish,177.450000000004
149,-24,49,1,picker-3,1.05,finish,177.450000000004
149,-58,49,3,picker-3,1.05,finish,177.450000000004
149,-24,209,8,picker-3,1.05,finish,177.450000000004
140,-77,154,8,picker-1,2.1,finish,50.5499999999997
52,-8,2,1,picker-2,2.1,finish,158.550000000003
52,-87,2,11,picker-2,2.1,finish,158.550000000003
52,-85,43,6,picker-2,2.1,finish,158.550000000003
52,-19,15,3,picker-2,2.1,finish,158.550000000003
28,-41,47,8,picker-3,2.1,finish,144.300000000003
28,-38,48,8,picker-3,2.1,finish,144.300000000003
391,-97,94,7,picker-1,3.15,finish,75.9
349,-87,24,8,picker-2,3.15,finish,64.6499999999996
349,-85,68,11,picker-2,3.15,finish,64.6499999999996
79,-58,4,2,picker-3,3.15,finish,198.600000000005
79,-54,4,3,picker-3,3.15,finish,198.600000000005
79,-30,4,1,picker-3,3.15,finish,198.600000000005
79,-24,46,8,picker-3,3.15,finish,198.600000000005
266,-94,259,4,picker-1,4.05,finish,92.1000000000006
172,-84,91,4,picker-2,4.05,finish,131.250000000002
172,-60,148,10,picker-2,4.05,finish,131.250000000002
73,-54,34,6,picker-3,4.05,finish,122.550000000002
73,-41,43,6,picker-3,4.05,finish,122.550000000002
147,-82,456,4,picker-1,5.1,finish,140.250000000002
1,-8,5,11,picker-2,5.1,finish,204.750000000005
76,-54,83,11,picker-3,5.1,finish,232.200000000006
32,-88,438,2,picker-1,6.0,finish,173.100000000004
327,-19,114,9,picker-2,6.0,finish,220.350000000005
188,-68,216,6,picker-3,6.0,finish,214.800000000005
188,-35,7,4,picker-3,6.0,finish,214.800000000005
206,-91,152,2,picker-1,7.05000000000001,finish,203.700000000005
65,-60,303,3,picker-2,7.05000000000001,finish,226.050000000006
324,-30,4,3,picker-3,7.05000000000001,finish,246.300000000006
