item_code;slot_type;orientation;slot_length;slot_width;slot_height;slot_volume;slots_per_pod;box_l0;box_w0;box_h0;box_weight;box_volume;units_per_box;oriented_l;oriented_w;oriented_h;max_x;max_y;max_z;max_boxes_in_slot;max_items_in_slot;max_boxes_in_pod;max_items_in_pod;used_volume_in_slot;used_weight_in_slot;vol_util_slot
10000001001;3;1;60;25;43;64500;;45;30;24;15.7;32400;24;45;24;30;1;1;1;1;24;;;32400;15.7;0.502325581
10000001001;4;1;120;25;43;129000;;45;30;24;15.7;32400;24;45;24;30;2;1;1;2;48;;;64800;31.4;0.502325581
10000002001;0;0;40;25;43;43000;;34;23;31;13.31;24242;6;34;23;31;1;1;1;1;6;;;24242;13.31;0.563767442
10000002001;0;3;40;25;43;43000;;34;23;31;13.31;24242;6;31;23;34;1;1;1;1;6;;;24242;13.31;0.563767442
10000002001;1;0;40;25;31;31000;;34;23;31;13.31;24242;6;34;23;31;1;1;1;1;6;;;24242;13.31;0.782
10000002001;3;0;60;25;43;64500;;34;23;31;13.31;24242;6;34;23;31;1;1;1;1;6;;;24242;13.31;0.375844961
10000002001;3;3;60;25;43;64500;;34;23;31;13.31;24242;6;31;23;34;1;1;1;1;6;;;24242;13.31;0.375844961
10000002001;4;0;120;25;43;129000;;34;23;31;13.31;24242;6;34;23;31;3;1;1;3;18;;;72726;39.93;0.563767442
10000002001;4;3;120;25;43;129000;;34;23;31;13.31;24242;6;31;23;34;3;1;1;3;18;;;72726;39.93;0.563767442
10000003001;0;1;40;25;43;43000;;40;27;12;9.11;12960;24;40;12;27;1;2;1;2;48;;;25920;18.22;0.602790698
10000003001;0;4;40;25;43;43000;;40;27;12;9.11;12960;24;27;12;40;1;2;1;2;48;;;25920;18.22;0.602790698
10000003001;1;1;40;25;31;31000;;40;27;12;9.11;12960;24;40;12;27;1;2;1;2;48;;;25920;18.22;0.836129032
10000003001;3;1;60;25;43;64500;;40;27;12;9.11;12960;24;40;12;27;1;2;1;2;48;;;25920;18.22;0.401860465
10000003001;3;4;60;25;43;64500;;40;27;12;9.11;12960;24;27;12;40;2;2;1;4;96;;;51840;36.44;0.80372093
