item_code,avg_affinity,max_affinity,total_demand
10000001001,5.232204e-07,0.00010156409,187
10000002001,9.313407e-06,0.0020651366,9976
10000003001,3.944661e-06,0.00037240167,2832
10000004001,1.0327905e-06,0.00027083757,2104
10000005001,1.14017685e-05,0.0010833503,11670
10000006001,2.0473879e-08,1.6927348e-05,13
10000007001,7.3297037e-06,0.00064323924,5712
10000008001,1.1374377e-08,3.3854696e-05,60
10000010001,2.1088183e-06,0.00018620084,1696
10000011001,1.887705e-05,0.0020143543,58080
10000012001,2.9437022e-06,0.00032161962,1520
10000013001,3.890033e-07,5.0782044e-05,1392
10000021001,2.3067332e-06,0.00022005552,1191
10000022001,1.851752e-06,0.00020312818,314
10000023001,6.7563633e-07,6.770939e-05,128
10000026001,1.661582e-05,0.0016758074,7232
10000027001,8.2805224e-07,0.000118491436,1312
10000998001,1.6704536e-05,0.0017096621,850
10001001001,3.6398214e-06,0.000389329,906
10001004001,1.0305253e-05,0.0020651366,2886
10001005001,2.6820885e-06,0.0002877649,1926
10001006001,1.6561224e-05,0.0014218972,10062
10001007001,3.3668135e-07,0.00015234613,192
10001008001,7.7118074e-07,0.0004570384,493
10001009001,1.0867154e-05,0.0012864785,19968
10001010001,3.6398e-08,3.3854696e-05,72
10001012001,9.929898e-06,0.0013880426,16152
10001014001,5.4665625e-06,0.0013880426,2112
10001015001,1.867679e-06,0.00027083757,604
10001020001,3.6284453e-06,0.0006770939,1860
10001022001,3.5420028e-06,0.0008294401,1160
10001025001,7.673212e-06,0.001946645,9096
10001035001,2.6661667e-06,0.00074480334,708
10001041001,7.256837e-07,8.463674e-05,256
10001043001,6.8928557e-07,0.000118491436,1092
10001044001,1.11468935e-07,5.0782044e-05,16
10002001001,7.862018e-06,0.0012356964,9744
10002003001,4.9274104e-06,0.0008463674,2056
10002005001,1.162015e-05,0.0014218972,5094
10002006001,1.1599691e-05,0.0012356964,1848
10002007001,6.0261914e-06,0.00089714944,2664
10002008001,5.4256107e-06,0.0011849144,15288
10002009001,5.5325404e-06,0.0016250254,4188
10002010001,4.4906287e-06,0.00076173065,7824
10002011001,1.4559211e-07,3.3854696e-05,68
10002012001,1.3467269e-06,0.00015234613,1518
10002013001,1.3649252e-08,1.6927348e-05,120
10002014001,4.2244665e-06,0.0004570384,2742
10002017001,1.6993378e-06,0.0009310041,2599
10002018001,2.2239363e-05,0.001997427,13302
10002019001,7.502598e-06,0.0012864785,9096
10002021001,1.0610093e-05,0.0014896067,15144
10002025001,3.175742e-06,0.00037240167,310
10002026001,9.326991e-08,3.3854696e-05,72
10002035001,5.3141425e-06,0.0009140768,617
10002037001,2.2521284e-07,5.0782044e-05,13
10002038001,2.4341185e-07,5.0782044e-05,22
10002039001,0.0,0.0,24
