item_code,total_volume,mean_volume_all_skus,upper_bound_iqr,volume_minus_upper_bound
10021025001,67734,320.98374092985756,157.5,67576.5
10000011001,58080,320.98374092985756,157.5,57922.5
10021008001,28440,320.98374092985756,157.5,28282.5
15020047001,24450,320.98374092985756,157.5,24292.5
10035035001,22806,320.98374092985756,157.5,22648.5
10001009001,19968,320.98374092985756,157.5,19810.5
10032006001,19758,320.98374092985756,157.5,19600.5
10010002001,19692,320.98374092985756,157.5,19534.5
10031005001,18456,320.98374092985756,157.5,18298.5
14805012001,17916,320.98374092985756,157.5,17758.5
10034042001,17838,320.98374092985756,157.5,17680.5
10032016001,17802,320.98374092985756,157.5,17644.5
10031001001,17628,320.98374092985756,157.5,17470.5
14804007001,17208,320.98374092985756,157.5,17050.5
12201031001,17064,320.98374092985756,157.5,16906.5
10033037001,16560,320.98374092985756,157.5,16402.5
10001012001,16152,320.98374092985756,157.5,15994.5
10021006001,15940,320.98374092985756,157.5,15782.5
14502009001,15455,320.98374092985756,157.5,15297.5
10040063001,15408,320.98374092985756,157.5,15250.5
10002008001,15288,320.98374092985756,157.5,15130.5
10002021001,15144,320.98374092985756,157.5,14986.5
10034019001,14334,320.98374092985756,157.5,14176.5
10021001001,13992,320.98374092985756,157.5,13834.5
10033025001,13962,320.98374092985756,157.5,13804.5
14500000001,13820,320.98374092985756,157.5,13662.5
10033004001,13770,320.98374092985756,157.5,13612.5
10032047001,13656,320.98374092985756,157.5,13498.5
10031013001,13608,320.98374092985756,157.5,13450.5
10002018001,13302,320.98374092985756,157.5,13144.5
14503003001,13056,320.98374092985756,157.5,12898.5
10033018001,12764,320.98374092985756,157.5,12606.5
10032013001,12210,320.98374092985756,157.5,12052.5
12201079001,11988,320.98374092985756,157.5,11830.5
10010004001,11694,320.98374092985756,157.5,11536.5
10000005001,11670,320.98374092985756,157.5,11512.5
10032010001,11448,320.98374092985756,157.5,11290.5
12201898001,11054,320.98374092985756,157.5,10896.5
10010035001,10938,320.98374092985756,157.5,10780.5
10035034001,10914,320.98374092985756,157.5,10756.5
12201103001,10632,320.98374092985756,157.5,10474.5
12200002001,10608,320.98374092985756,157.5,10450.5
10034025001,10488,320.98374092985756,157.5,10330.5
10002102001,10434,320.98374092985756,157.5,10276.5
10041067001,10312,320.98374092985756,157.5,10154.5
12200006001,10290,320.98374092985756,157.5,10132.5
10020007001,10218,320.98374092985756,157.5,10060.5
14505013001,10215,320.98374092985756,157.5,10057.5
10031910001,10200,320.98374092985756,157.5,10042.5
10001006001,10062,320.98374092985756,157.5,9904.5
10000002001,9976,320.98374092985756,157.5,9818.5
10033043001,9860,320.98374092985756,157.5,9702.5
10002001001,9744,320.98374092985756,157.5,9586.5
15022026001,9702,320.98374092985756,157.5,9544.5
15020050001,9678,320.98374092985756,157.5,9520.5
14505041001,9495,320.98374092985756,157.5,9337.5
12201043001,9408,320.98374092985756,157.5,9250.5
10035021001,9296,320.98374092985756,157.5,9138.5
10014090001,9186,320.98374092985756,157.5,9028.5
10002019001,9096,320.98374092985756,157.5,8938.5
10001025001,9096,320.98374092985756,157.5,8938.5
10040005001,8760,320.98374092985756,157.5,8602.5
10032008001,8712,320.98374092985756,157.5,8554.5
12201104001,8640,320.98374092985756,157.5,8482.5
10034003001,8508,320.98374092985756,157.5,8350.5
12201001001,8496,320.98374092985756,157.5,8338.5
15020010001,8142,320.98374092985756,157.5,7984.5
10033064001,8016,320.98374092985756,157.5,7858.5
10021027001,8016,320.98374092985756,157.5,7858.5
14502081001,8001,320.98374092985756,157.5,7843.5
10030013001,7986,320.98374092985756,157.5,7828.5
12200001001,7914,320.98374092985756,157.5,7756.5
10002010001,7824,320.98374092985756,157.5,7666.5
10040062001,7800,320.98374092985756,157.5,7642.5
10033068001,7680,320.98374092985756,157.5,7522.5
15021001001,7524,320.98374092985756,157.5,7366.5
10000026001,7232,320.98374092985756,157.5,7074.5
10015007001,7224,320.98374092985756,157.5,7066.5
15022004001,6942,320.98374092985756,157.5,6784.5
14500013001,6906,320.98374092985756,157.5,6748.5
14831007001,6861,320.98374092985756,157.5,6703.5
10034036001,6762,320.98374092985756,157.5,6604.5
10030048001,6696,320.98374092985756,157.5,6538.5
10030007001,6520,320.98374092985756,157.5,6362.5
10033041001,6474,320.98374092985756,157.5,6316.5
14505899001,6455,320.98374092985756,157.5,6297.5
10032019001,6444,320.98374092985756,157.5,6286.5
14011052001,6432,320.98374092985756,157.5,6274.5
10021016001,6296,320.98374092985756,157.5,6138.5
12201035001,6270,320.98374092985756,157.5,6112.5
14502011001,6258,320.98374092985756,157.5,6100.5
10033057001,6152,320.98374092985756,157.5,5994.5
10014028001,5892,320.98374092985756,157.5,5734.5
10031031001,5819,320.98374092985756,157.5,5661.5
10033013001,5812,320.98374092985756,157.5,5654.5
10015010001,5766,320.98374092985756,157.5,5608.5
10034999001,5724,320.98374092985756,157.5,5566.5
10000007001,5712,320.98374092985756,157.5,5554.5
12201069001,5664,320.98374092985756,157.5,5506.5
12201024001,5660,320.98374092985756,157.5,5502.5
14840003001,5590,320.98374092985756,157.5,5432.5
12201123001,5510,320.98374092985756,157.5,5352.5
10021012001,5484,320.98374092985756,157.5,5326.5
12201049001,5424,320.98374092985756,157.5,5266.5
10020018001,5190,320.98374092985756,157.5,5032.5
10040003001,5136,320.98374092985756,157.5,4978.5
12201083001,5124,320.98374092985756,157.5,4966.5
10033015001,5124,320.98374092985756,157.5,4966.5
10034004001,5100,320.98374092985756,157.5,4942.5
10002005001,5094,320.98374092985756,157.5,4936.5
14501010001,5052,320.98374092985756,157.5,4894.5
12201037001,5040,320.98374092985756,157.5,4882.5
10040032001,5034,320.98374092985756,157.5,4876.5
10034011001,5022,320.98374092985756,157.5,4864.5
14501014001,5010,320.98374092985756,157.5,4852.5
10014023001,4980,320.98374092985756,157.5,4822.5
10011001001,4866,320.98374092985756,157.5,4708.5
10033005001,4848,320.98374092985756,157.5,4690.5
10031911001,4770,320.98374092985756,157.5,4612.5
14503000001,4740,320.98374092985756,157.5,4582.5
14502077001,4698,320.98374092985756,157.5,4540.5
10031033001,4584,320.98374092985756,157.5,4426.5
12201065001,4560,320.98374092985756,157.5,4402.5
10011016001,4482,320.98374092985756,157.5,4324.5
15020920001,4464,320.98374092985756,157.5,4306.5
14505014001,4431,320.98374092985756,157.5,4273.5
14505917001,4400,320.98374092985756,157.5,4242.5
